ID,活动时间,活动名称,活动职能,表现形式,学科媒介,活动组织类型,系列标签,活动性质1,活动性质2,活动性质3,活动领域,活动主题标签,活动地点,策划人
ID_0949,2015.06.15,AMNUA调研丨中国古代纹样的装饰结构研究,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,作者:倪艳; 作者:吴兰兰; 作者:徐鹏飞; 作者:黄星宇; 作者:刘思君; 作者:戴婷; 作者:朱国培
ID_0950,2015.06.15,AMNUA毕业生丨高职平面鲁月娟：学习千万不要有拖延症,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,N/A
ID_0951,2015.06.16,AMNUA资讯丨南艺美术馆数字展厅上线啦，暴雨滂沱？不出门也能看展览,展览,线上展览,综合,独立活动,N/A,艺术展览,N/A,综合,跨学科/泛文化,N/A,3号展厅,N/A
ID_0952,2015.06.17,AMNUA讨论丨保护展品，需要的是持久、长远的艺术熏陶和文艺教化,展览,线下展览,综合,独立活动,N/A,艺术展览,N/A,综合,跨学科/泛文化,N/A,公共空间,作者:南美小白
ID_0953,2015.06.18,AMNUA展讯丨大江东去：汤国2015个展,展览,线下展览,影像,独立活动,N/A,艺术展览,个展,影像,纯艺术,N/A,学术报告厅,策展人:郑闻; 学术主持:吴亮
ID_0954,2015.06.18,AMNUA调研丨设计学：女性设计研究,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,N/A
ID_0955,2015.06.20,AMNUA端午节日特刊丨沙拉正当季 端午聚餐新吃法,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,作者:HM
ID_0956,2015.06.20,AMNUA端午节日特刊丨屈原是GAY？你在逗我？,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,作者:明白学堂
ID_0957,2015.06.20,AMNUA端午节日特刊丨民俗学家手把手教你端午怎么过？,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,作者:戴望云
ID_0958,2015.06.20,AMNUA端午节日特刊丨你听说过西红柿炒鸡蛋盖浇粽吗。。。,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,作者:小宽
ID_0959,2015.06.21,AMNUA父亲节专刊丨爸爸，父亲节快乐！,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,作者:特雷西胡
ID_0960,2015.06.21,AMNUA父亲节专刊丨从社会学视角看“爸爸去哪儿”,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,作者:徐安琪
ID_0961,2015.06.21,AMNUA父亲节专刊丨常读常新的《傅雷家书》,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,N/A
ID_0962,2015.06.22,AMNUA访谈丨毕业展的背后：传媒学院对当下环境的新态度,展览,线下展览,影像,独立活动,N/A,艺术展览,N/A,影像,纯艺术,N/A,线上活动,N/A
ID_0963,2015.06.23,AMNUA艺评丨致汤国：一声歌已釂金觞,学术评论/言论,文章/论文,影像,独立活动,N/A,学术研究,N/A,影像,纯艺术,N/A,N/A,策展人:郑闻; 学术主持:吴亮
ID_0964,2015.06.23,AMNUA观点丨徐乔斯：为什么要她动起来,其他,N/A,雕塑,独立活动,N/A,其他,N/A,雕塑,纯艺术,N/A,线上活动,作者:徐乔斯
ID_0965,2015.06.24,AMNUA课堂丨从绘画作品中理解现实主义,其他,N/A,油画,独立活动,N/A,其他,N/A,油画,纯艺术,N/A,N/A,作者:积木摇
ID_0966,2015.06.24,AMNUA毕业生丨高职孙寅奇：钱不重要，有能力必然赚钱,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,N/A
ID_0967,2015.06.25,AMNUA艺评丨吴亮：大江东去与无名氏的归来,学术评论/言论,文章/论文,综合,独立活动,N/A,学术研究,N/A,综合,跨学科/泛文化,N/A,线上活动,作者:吴亮
ID_0968,2015.06.25,AMNUA观点丨徐乔斯：人人都是批评家,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,作者:徐乔斯
